State,Department,Website,District,Block
Karnataka,Belagavi-Saundatti-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Belagavi,Saundatti
Karnataka,Belagavi-Urban Development Cell - DUDC,RTI_Online_Karnataka,Belagavi,Not Applicable
Karnataka,"Bengaluru - City Civil & Session Court, City Civil Court Complex",RTI_Online_Karnataka,Bengaluru,
Karnataka,Bengaluru - Court of Small Causes,RTI_Online_Karnataka,Bengaluru,
Karnataka,"Bengaluru - Joint Director of Town and Country Planning, Divisional Office",RTI_Online_Karnataka,Bengaluru,Not Applicable
Karnataka,Bengaluru Metropolitan Region Development Authority(BMRDA),RTI_Online_Karnataka,BMRDA,Not Applicable
Karnataka,Bengaluru North - District Institute for Education and Training (DIET),RTI_Online_Karnataka,Bengaluru North,Not Applicable
Karnataka,"Bengaluru North - Office of the Deputy Director, Department of School Education(Pre University)",RTI_Online_Karnataka,Bengaluru North,Not Applicable
Karnataka,Bengaluru Rural - District Court,RTI_Online_Karnataka,Bengaluru Rural,
Karnataka,Bengaluru Rural - District Institute for Education and Training (DIET),RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,Bengaluru Rural - District Training Institute,RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural - Office of The Deputy Director, Fisheries Department",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural - Office of the Deputy Director, Department of School Education(Pre University)",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural - Office of the Deputy Director, District Treasury",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,Bengaluru Rural- Department Of Skill Development,RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,Bengaluru Rural- Karnataka Lokayukta Police,RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The Assistant Director, Department of Youth Empowerment and Sports",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The Deputy Director, Department of Public Instruction",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The Deputy Director, Department of Sericulture",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The Deputy commissioner, Department of Excise",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,Bengaluru Rural- Office of The District Health and Family Welfare Officer,RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The District Office, Department of Backward Classes Welfare",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The District Officer, Minority Welfare Department",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The District Statistical Officer, Department of Statistics",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The Joint Director, Department of Agriculture",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,"Bengaluru Rural- Office of The Joint Director, District Industrial Centre, Department of Industries and Commerce",RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
Karnataka,Bengaluru Rural- Office of The Superintendent of Police,RTI_Online_Karnataka,Bengaluru Rural,Not Applicable
